iter	Passed	Remaining
0	6	2013
1	12	1908
2	17	1840
3	23	1836
4	29	1797
5	34	1770
6	39	1736
7	44	1720
8	49	1692
9	54	1668
10	59	1638
11	64	1619
12	69	1602
13	74	1592
14	79	1579
15	82	1539
16	87	1536
17	93	1532
18	98	1531
19	103	1522
20	108	1518
21	113	1508
22	118	1498
23	123	1490
24	128	1480
25	132	1472
26	138	1467
27	142	1456
28	147	1448
29	151	1437
30	156	1429
31	160	1418
32	165	1407
33	169	1398
34	174	1389
35	178	1381
36	183	1375
37	188	1366
38	192	1356
39	196	1347
40	201	1340
41	206	1334
42	210	1328
43	215	1321
44	219	1314
45	224	1308
46	229	1303
47	233	1296
48	239	1293
49	244	1288
50	249	1285
51	254	1281
52	258	1275
53	263	1269
54	268	1262
55	272	1254
56	276	1247
57	280	1239
58	285	1232
59	289	1226
60	294	1219
61	298	1213
62	302	1207
63	307	1202
64	312	1196
65	316	1190
66	321	1185
67	326	1181
68	331	1178
69	336	1173
70	341	1168
71	345	1162
72	350	1156
73	354	1150
74	359	1144
75	363	1138
76	368	1132
77	372	1126
78	376	1119
79	380	1113
80	385	1109
81	389	1103
82	394	1098
83	399	1094
84	405	1091
85	410	1088
86	415	1084
87	421	1081
88	425	1076
89	431	1073
90	436	1069
91	441	1066
92	447	1064
93	457	1070
94	464	1070
95	473	1074
96	479	1072
97	486	1071
98	492	1070
99	500	1070
100	506	1069
101	514	1068
102	520	1066
103	526	1063
104	531	1058
105	538	1055
106	543	1051
107	549	1047
108	554	1042
109	560	1038
110	565	1034
111	570	1029
112	575	1023
113	580	1017
114	584	1011
115	589	1006
116	594	1000
117	598	994
118	603	989
119	608	984
120	613	979
121	619	975
122	625	970
123	630	965
124	635	960
125	640	956
126	646	951
127	651	947
128	656	941
129	661	935
130	666	930
131	670	925
132	675	919
133	679	913
134	684	907
135	688	901
136	693	896
137	698	891
138	703	885
139	707	879
140	712	873
141	716	868
142	721	862
143	725	856
144	730	851
145	735	846
146	739	840
147	744	834
148	749	829
149	753	824
150	758	818
151	762	812
152	766	806
153	771	801
154	775	795
155	779	789
156	784	784
157	788	778
158	793	773
159	797	767
160	801	762
161	806	756
162	811	751
163	816	746
164	821	741
165	826	736
166	831	732
167	836	727
168	841	722
169	847	717
170	852	712
171	857	707
172	861	702
173	866	696
174	870	691
175	875	686
176	879	680
177	883	675
178	887	669
179	892	664
180	897	659
181	901	653
182	905	648
183	910	643
184	915	638
185	919	633
186	925	628
187	939	629
188	944	624
189	950	620
190	955	615
191	959	609
192	964	604
193	969	599
194	974	594
195	978	589
196	982	583
197	988	578
198	992	573
199	997	568
200	1002	563
201	1007	558
202	1012	553
203	1017	548
204	1022	543
205	1027	538
206	1032	533
207	1038	529
208	1043	524
209	1048	519
210	1053	514
211	1059	509
212	1063	504
213	1068	499
214	1072	493
215	1077	488
216	1081	483
217	1086	478
218	1091	473
219	1095	468
220	1100	463
221	1105	458
222	1109	452
223	1114	447
224	1119	442
225	1124	437
226	1129	432
227	1133	427
228	1138	422
229	1142	417
230	1147	412
231	1151	407
232	1156	401
233	1160	396
234	1165	391
235	1170	386
236	1174	381
237	1178	376
238	1183	371
239	1187	366
240	1191	361
241	1196	355
242	1200	350
243	1205	345
244	1210	341
245	1215	336
246	1220	331
247	1225	326
248	1230	321
249	1235	316
250	1241	311
251	1246	306
252	1251	301
253	1256	296
254	1261	291
255	1266	286
256	1271	281
257	1275	276
258	1280	271
259	1284	266
260	1288	261
261	1293	256
262	1298	251
263	1302	246
264	1307	241
265	1311	236
266	1316	231
267	1321	226
268	1325	221
269	1330	216
270	1335	211
271	1339	206
272	1344	201
273	1348	196
274	1353	191
275	1357	186
276	1361	181
277	1366	176
278	1370	171
279	1375	166
280	1379	162
281	1383	157
282	1388	152
283	1393	147
284	1398	142
285	1403	137
286	1408	132
287	1413	127
288	1418	122
289	1423	117
290	1428	112
291	1433	108
292	1438	103
293	1443	98
294	1449	93
295	1454	88
296	1458	83
297	1463	78
298	1467	73
299	1472	68
300	1476	63
301	1481	58
302	1485	53
303	1490	49
304	1494	44
305	1498	39
306	1502	34
307	1507	29
308	1511	24
309	1516	19
310	1521	14
311	1525	9
312	1530	4
313	1534	0
